name,latitude,longitude,count
ZAP - Restaurant Jack-O Coaticook,45.138608,-71.807355,1
ZAP - Brasserie Fleurimont,45.425196,-71.871748,1
ZAP - Chez Renaud Comptoirs,45.398295,-71.937668,1
ZAP - OMG Burger,45.399034,-71.906762,1
ZAP - E2. Centre communautaire Richard Gingras/local 209,45.392584,-72.040219,1
ZAP - Buffet des Continents,45.395821,-71.89443,1
ZAP - Resto D’Austin SEMC,45.184064,-72.276689,1
ZAP - Scores Sherbrooke,45.397716,-71.941171,1
ZAP - Micro Brasserie La Memphré,45.266538,-72.155525,1
ZAP - Café Hubert St-Jean,45.372096,-71.986444,1
ZAP - MicroAge Sherbrooke,45.393842,-71.897231,1
ZAP - Spot Jeunesse de Sherbrooke,45.394511,-71.893678,1
ZAP - Chez Renaud Comptoirs Gourmet,45.398289,-71.938479,1
ZAP - L'Ami-Daniel Unipneu,45.388964,-71.909448,1
ZAP - Freddy Pizzeria,45.403737,-71.871516,1
ZAP - Le Club Stan-Buy,45.397722,-71.888089,1
ZAP - CLD de la MRC de Memphrémagog,45.270097,-72.15157,1
ZAP - Hôtellerie Jardins de Ville #3,45.384688,-71.965025,1
ZAP - Déjeuner Eggspresso Café Bistro,45.275898,-72.132608,1
ZAP - Restaurant Viet Cantine,45.366472,-71.856519,1
ZAP - DT-Bistro RF,45.371811,-71.986948,1
ZAP - IGA Bouchard,45.394411,-72.013681,1
ZAP - Musée J.Armand Bombardier,45.494694,-72.310524,1
ZAP - l’Omnibouffe,45.3967,-71.878502,1
ZAP - Clinique Dentaire Rock Forest,45.370684,-71.989455,1
ZAP - NV Cloutier,45.398062,-71.934675,1
ZAP - Rotisserie Parenteau Junior,45.62205,-72.956482,1
ZAP - Café Lucas,45.267763,-72.155388,1
ZAP - Casa du Spaghetti,45.407726,-72.742159,1
ZAP - O Chevreuil,45.402515,-71.890906,1
ZAP - Gouts et Saveurs,45.266195,-72.153565,1
ZAP - Rotisserie Orford,45.266507,-72.145398,1
ZAP - Auberge Mc Gowan,45.12914,-72.188718,1
ZAP - Maison des Jeunes Coaticook,45.133739,-71.799772,1
ZAP - Pub Le Moulin 7,45.775708,-71.938132,1
ZAP - Aeroport de Sherbrooke #2,45.441543,-71.689273,1
ZAP - Cafe St-Michel,45.26669,-72.15523,1
ZAP - Delia Eggxtra,45.408093,-71.874102,1
